time,status,count
00:00,reversed,7
00:00,approved,9
00:00,processing,12
00:00,denied,3
00:00,backend_reversed,2
00:01,approved,16
00:01,backend_reversed,1
00:01,reversed,2
00:01,processing,2
00:01,denied,12
00:02,reversed,5
00:02,backend_reversed,3
00:02,processing,5
00:02,approved,5
00:02,denied,4
00:03,denied,2
00:03,backend_reversed,2
00:03,approved,6
00:03,processing,4
00:03,reversed,9
00:04,processing,2
00:04,reversed,10
00:04,backend_reversed,3
00:04,approved,12
00:04,denied,4
00:05,approved,27
00:05,reversed,4
00:05,denied,6
00:06,approved,22
00:06,reversed,1
00:06,denied,4
00:07,processing,1
00:07,backend_reversed,2
00:07,denied,2
00:07,approved,11
00:07,reversed,3
00:08,processing,6
00:08,reversed,2
00:08,backend_reversed,3
00:08,approved,5
00:09,approved,3
00:09,reversed,9
00:09,denied,1
00:09,backend_reversed,5
00:09,processing,5
00:10,denied,1
00:10,processing,5
00:10,reversed,1
00:10,backend_reversed,10
00:11,backend_reversed,4
00:11,approved,2
00:11,processing,2
00:11,denied,1
00:11,reversed,8
00:12,approved,14
00:12,processing,4
00:12,denied,8
00:12,refunded,1
00:12,backend_reversed,3
00:12,reversed,8
00:13,approved,33
00:13,denied,5
00:14,approved,17
00:14,denied,4
00:15,approved,12
00:15,reversed,1
00:15,denied,5
00:16,refunded,1
00:16,denied,2
00:16,reversed,3
00:16,approved,10
00:17,reversed,6
00:17,denied,2
00:17,approved,13
00:17,refunded,1
00:18,approved,18
00:18,denied,1
00:19,approved,16
00:20,denied,3
00:20,approved,11
00:21,approved,17
00:21,reversed,1
00:21,denied,5
00:22,approved,15
00:22,denied,7
00:23,denied,5
00:23,approved,17
00:24,refunded,1
00:24,approved,15
00:24,denied,7
00:25,approved,10
00:25,denied,3
00:25,reversed,1
00:26,approved,6
00:27,approved,11
00:28,approved,10
00:28,denied,4
00:29,approved,16
00:29,denied,2
00:30,denied,3
00:30,approved,6
00:31,approved,10
00:31,denied,3
00:32,approved,7
00:33,denied,2
00:33,approved,8
00:34,denied,2
00:34,approved,11
00:35,approved,8
00:36,denied,2
00:36,approved,7
00:36,reversed,1
00:37,denied,1
00:37,approved,12
00:38,approved,3
00:38,denied,3
01:38,approved,2
01:39,approved,5
01:40,approved,5
01:40,denied,1
01:41,reversed,1
01:41,approved,1
01:42,reversed,1
01:42,approved,2
01:43,reversed,1
01:43,approved,4
01:43,refunded,1
01:44,reversed,1
01:44,approved,3
01:45,approved,4
01:46,approved,3
01:46,reversed,1
01:47,approved,5
01:48,approved,2
01:49,approved,1
